Model Parameters:
input_size: 14
hidden_size: 256
num_layers: 3
output_size: 15
dropout: 0.1
num_epochs: 300
learning_rate: 0.01
lambda_l2: 0.0003
early_stopping_patience: 10
early_stopping_threshold: 1e-05

epoch:0, train_loss:0.01195645984262228, val_loss:0.01007126174157574
epoch:1, train_loss:0.009054708294570446, val_loss:0.008292947363640581
epoch:2, train_loss:0.008501611649990082, val_loss:0.007171763040657554
epoch:3, train_loss:0.00644612917676568, val_loss:0.005858853326312133
epoch:4, train_loss:0.006041272077709436, val_loss:0.005324432227228369
epoch:5, train_loss:0.005733821541070938, val_loss:0.00474251334422401
epoch:6, train_loss:0.005230254027992487, val_loss:0.004091040408682255
epoch:7, train_loss:0.004560247529298067, val_loss:0.0036219741506058546
epoch:8, train_loss:0.0042764595709741116, val_loss:0.0035340398816125734
epoch:9, train_loss:0.004513863939791918, val_loss:0.003329194782833968
epoch:10, train_loss:0.003910662606358528, val_loss:0.0032304825283409585
epoch:11, train_loss:0.004294167272746563, val_loss:0.0031452389167887823
epoch:12, train_loss:0.003965614829212427, val_loss:0.003079475990186135
epoch:13, train_loss:0.00382053991779685, val_loss:0.0029211214499636775
epoch:14, train_loss:0.0034831378143280745, val_loss:0.0030787535277860506
epoch:15, train_loss:0.0040179588831961155, val_loss:0.0030312786388787486
epoch:16, train_loss:0.0036106077022850513, val_loss:0.002881464637106373
epoch:17, train_loss:0.0036602644249796867, val_loss:0.0029640985941070887
epoch:18, train_loss:0.0036058127880096436, val_loss:0.0029569501389882396
epoch:19, train_loss:0.0036133895628154278, val_loss:0.003015446254894847
epoch:20, train_loss:0.0037894693668931723, val_loss:0.002870420803360286
epoch:21, train_loss:0.0036099422723054886, val_loss:0.0029051510084952626
epoch:22, train_loss:0.0033787640277296305, val_loss:0.0029230634127521797
epoch:23, train_loss:0.0035389575641602278, val_loss:0.0029172275570176895
epoch:24, train_loss:0.003891784930601716, val_loss:0.0029908487617614724
epoch:25, train_loss:0.0038257602136582136, val_loss:0.0030114341837664447
epoch:26, train_loss:0.0032675894908607006, val_loss:0.002809051391003387
epoch:27, train_loss:0.0036529211793094873, val_loss:0.0030751244630664587
epoch:28, train_loss:0.0036434216890484095, val_loss:0.0030427012769948867
epoch:29, train_loss:0.003359203226864338, val_loss:0.0029524282020117554
epoch:30, train_loss:0.0034490651451051235, val_loss:0.0031173975051691136
epoch:31, train_loss:0.0032747613731771708, val_loss:0.0030007809067943265
epoch:32, train_loss:0.003373820101842284, val_loss:0.002933288092858025
epoch:33, train_loss:0.003446202026680112, val_loss:0.0029251017341656344
epoch:34, train_loss:0.00332856853492558, val_loss:0.00288190709293953
